,area_num,geog,tot_pop,pop_hh,pop_gq,hisp,white,black,asian,other,total_homes,tot_hh,vac_homes,hh_size,vac_rate,hisp_per,white_per,black_per,asian_per
65,66,Chicago Lawn,55931,55904,27,32949,1571,20443,145,823,19003,17041,1962,3.2805586526612287,10.32468557596169,58.91008564123652,2.808818007902594,36.55039244783752,0.25924800200246734
66,67,West Englewood,29647,29563,84,5832,177,22912,45,681,12458,9971,2487,2.9648982047939025,19.963075935142076,19.67146760211826,0.5970249940972105,77.28269302121632,0.15178601544844336
67,68,Englewood,24369,24193,176,1605,179,21941,27,617,12626,9597,3029,2.520891945399604,23.99017899572311,6.58623661208913,0.7345397841519964,90.03652181049694,0.1107965037547704
68,69,Greater Grand Crossing,31471,30963,508,668,163,29779,25,836,15608,12756,2852,2.4273283160865478,18.272680676576115,2.122589050236726,0.5179371484859077,94.62362174700517,0.0794382129579613
69,70,Ashburn,41098,40539,559,19157,3610,17440,211,680,13387,12909,478,3.1403671856844064,3.5706282214088296,46.61297386734147,8.783882427368729,42.435154995376905,0.5134069784417733
70,71,Auburn Gresham,44878,44755,123,1612,191,42059,43,973,20664,18071,2593,2.4766199988932542,12.548393341076268,3.5919604260439413,0.42559828869379207,93.71852578100628,0.09581532153839298
71,72,Beverly,20027,19978,49,1178,11009,6943,158,739,8124,7691,433,2.597581588870108,5.329886755292959,5.882059220052929,54.97078943426374,34.66819793279073,0.7889349378339242
72,73,Washington Heights,25065,24901,164,544,95,23849,31,546,10451,9538,913,2.6107150345984484,8.736006123815903,2.1703570716138043,0.37901456213844004,95.14861360462797,0.1236784360662278
73,74,Mount Greenwood,18628,18280,348,1994,15256,753,116,509,7298,6850,448,2.668613138686132,6.1386681282543165,10.704316083315438,81.89821773674039,4.042301911101568,0.622718488297187
74,75,Morgan Park,21186,20636,550,964,5838,13649,73,662,8865,8175,690,2.524281345565749,7.783417935702199,4.550174643632587,27.555933163409797,64.42462003209667,0.3445671669970735
75,76,O'Hare,13418,13407,11,1492,9174,385,1958,409,6560,6158,402,2.17716791165963,6.128048780487805,11.119391861678343,68.3708451334029,2.8692800715456848,14.592338649575197
76,77,Edgewater,56296,53265,3031,8466,30962,6820,7316,2732,33216,30466,2750,1.7483424144948467,8.279142581888246,15.038368622992753,54.99857893988916,12.114537444933921,12.995594713656388
